x,y,Symbol,Cluster
8.041676,4.0311513,RELIANCE.NS,0
6.207101,4.8728776,TCS.NS,-1
7.4902954,3.6849337,INFY.NS,0
7.6474743,4.2277174,HDFCBANK.NS,0
7.3801794,4.4221945,ICICIBANK.NS,0
5.674165,3.8782077,ITC.NS,2
5.930227,5.938915,LT.NS,4
6.5478024,5.976698,KOTAKBANK.NS,-1
6.7078404,3.8429306,SBIN.NS,-1
7.389849,3.5631518,BHARTIARTL.NS,0
6.8918033,5.601496,AXISBANK.NS,-1
4.9066257,5.3504586,HCLTECH.NS,4
5.20456,5.7587204,MARUTI.NS,-1
2.2403865,3.9109883,ASIANPAINT.NS,1
3.245421,4.2982187,WIPRO.NS,1
1.9785727,4.108551,ULTRACEMCO.NS,1
4.544115,4.0687594,HINDUNILVR.NS,-1
7.3005366,5.14803,BAJFINANCE.NS,-1
6.011403,3.1639633,NTPC.NS,-1
3.0282547,5.0295568,TITAN.NS,-1
5.2021394,4.4504957,SUNPHARMA.NS,-1
3.855994,4.76398,TECHM.NS,-1
4.203488,6.2330637,INDUSINDBK.NS,4
5.519378,3.4237604,POWERGRID.NS,2
3.3540168,5.6187415,JSWSTEEL.NS,4
3.6490388,6.8041115,ADANIENT.NS,4
5.7546916,6.612549,BAJAJFINSV.NS,4
4.3053694,4.41251,CIPLA.NS,3
5.4266114,4.6181192,COALINDIA.NS,3
3.896978,5.1611576,EICHERMOT.NS,4
2.2793975,4.5834327,HINDALCO.NS,1
5.6688485,2.839506,ONGC.NS,2
5.4885197,6.405253,TATACONSUM.NS,4
4.732405,6.8416057,NESTLEIND.NS,4
5.3730364,6.869594,DRREDDY.NS,4
5.8653574,5.16965,M&M.NS,-1
3.4041767,6.25165,GRASIM.NS,4
4.284951,6.608752,HDFCLIFE.NS,4
3.828072,5.851498,BRITANNIA.NS,4
2.4228504,3.6210537,APOLLOHOSP.NS,1
2.5938096,4.3829727,DIVISLAB.NS,1
2.865065,3.0803368,BPCL.NS,1
4.9408827,6.46825,SBILIFE.NS,4
6.107518,4.2095246,TATAMOTORS.NS,2
4.427868,5.7677794,HEROMOTOCO.NS,4
4.839966,4.6369534,BAJAJ-AUTO.NS,3
2.9799051,3.6854079,UPL.NS,1
5.0555854,2.757742,TATASTEEL.NS,-1
4.199451,7.167599,ADANIPORTS.NS,4
3.3214178,3.2044194,IOC.NS,-1
